Name,Weight,Shares,id_paises
Argentina,0.003306,239063000,68
Australia,1962482,213214.21,19
Austria ,0.07,1776.05,51
Bahamas ,0,73517000,75
Belgium ,0.21,3140.32,41
Bermuda ,0.09,1528.94,47
Brazil ,0.82,137383.44,27
Canada ,3156215,69626.28,15
Cayman Islands ,0,158352000,74
Chile ,0.08,701458.98,49
China ,4147396,1570638.97,13
Colombia,0.02,13070.58,57
Costa Rica,0,21446000,71
Czech Republic ,0.01,600200000,62
Denmark,0.61,8179.53,29
Egypt ,0.01,16723,60
Faeroe Island,0,49580000,66
Finland,0.31,16067.53,36
France ,2442215,32800.03,17
Gabon,0,0.75,78
Georgia,0,46474000,72
Germany ,1715053,30322.71,20
Gibraltar ,0,355283000,76
Greece ,0.04,7285.96,55
Hong Kong ,0.73,323122.13,28
Hungary ,0.02,1253.21,59
India,2185273,238921.23,18
Indonesia ,0.28,1456996.84,39
Ireland ,0.83,11516.33,26
Isle of Man,0,266475000,70
Israel ,0.32,21345.16,35
Italy ,0.5,72777.21,31
Japan ,5714902,207600.16,12
Jersey,0.01,2840.5,61
Jordan ,0,131532000,69
Kazakhstan ,0,16939000,73
Kuwait ,0.11,35926.08,44
Luxembourg ,0.06,3370.05,53
Macau ,0.01,5500.16,63
Malaysia ,0.15,139681.74,43
Mexico ,0.34,108728.06,34
Monaco,0,47777000,67
Netherlands,1039974,20684.51,23
New Zealand,0.09,17183.84,48
Norway ,0.24,16138.92,40
Pakistan,0.01,7055.01,64
Panama,0,43255.7,65
Peru ,0.03,1872.15,56
Philippines,0.1,116731.17,45
Poland ,0.07,9457.49,52
Portugal,0.05,12706.86,54
Puerto Rico,0.02,383962000,58
Qatar,0.17,62042.8,42
Saudi Arabia ,0.91,47860.86,24
Singapore ,0.38,123720.04,32
South Africa ,0.29,59944.47,38
South Korea,1170038,31953.97,22
Spain ,0.56,70002.14,30
Sweden ,0.84,55400.09,25
Switzerland,2528442,34959.18,16
Taiwan,1478905,494160.48,21
Thailand ,0.34,520524.44,33
Turkey ,0.1,40881.94,46
Ukraine,0,51128000,77
United Arab Emirates,0.31,89541.45,37
United Kingdom ,3841676,394797.98,14
United States,58375999,491052.73,11
Uruguay ,0.08,290924000,50
Vietnam ,0,50180000,79
